feature,category,precision,recall,fbeta
native-country,Italy,0.8823529411764706,0.6,0.7142857142857143
native-country,Poland,0.7,0.5833333333333334,0.6363636363636365
native-country,Columbia,0.5,1.0,0.6666666666666666
native-country,Cambodia,1.0,0.2857142857142857,0.4444444444444445
native-country,Thailand,1.0,0.6666666666666666,0.8
native-country,Ecuador,0.5,0.5,0.5
native-country,Laos,1.0,0.5,0.6666666666666666
native-country,Taiwan,0.8421052631578947,0.8,0.8205128205128205
native-country,Haiti,0.75,0.75,0.75
native-country,Portugal,1.0,0.25,0.4
native-country,Dominican-Republic,1.0,0.5,0.6666666666666666
native-country,El-Salvador,1.0,0.6666666666666666,0.8
native-country,France,0.75,0.5,0.6
native-country,Guatemala,1.0,0.3333333333333333,0.5
native-country,China,0.7727272727272727,0.85,0.8095238095238095
native-country,Japan,0.782608695652174,0.75,0.7659574468085107
native-country,Yugoslavia,0.8,0.6666666666666666,0.7272727272727272
native-country,Peru,1.0,0.5,0.6666666666666666
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Scotland,1.0,0.6666666666666666,0.8
native-country,Trinadad&Tobago,1.0,0.5,0.6666666666666666
native-country,Greece,0.75,0.75,0.75
native-country,Nicaragua,0.0,0.0,0.0
native-country,Vietnam,0.5,0.4,0.4444444444444445
native-country,Hong,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country,Ireland,1.0,0.4,0.5714285714285715
native-country,Hungary,1.0,0.3333333333333333,0.5
native-country,Holand-Netherlands,1.0,1.0,1.0
